titre,date_poste,date_fin,description,contrat,ville,pays,entreprise,langue
chargés de portefeuille,2023-02-24 09:39:16,2023-04-25 09:39:16,"fondation arrawaj, est un acteur économique et social majeur dans le secteur de la micro-finance, elle s’appuie sur un capital humain fort de plus de 2000 collaborateurs, réparti sur un réseau de plus de 208 agences.dans le cadre de son développement, la fondation arrawaj recrute des chargés de portefeuille h/f au niveau de notre agence à el jadida et régions .. missions :. en tant que « chargé de portefeuille », vous aurez pour principales missions : . . gérer et développer le portefeuille client. faire des prospections de nouveaux clients. mettre en avant nos produits et nos services auprès des clients potentiels. accompagner et conseiller les clients. fidéliser les clients. veiller à garder un contact régulier avec les clients. gérer et suivre les dossiers en cours. faire du recouvrement terrain..",CDI,el jadida,maroc,fondation arrawaj,fr
infirmier de santé au travail,2023-02-24 01:00:03,2023-04-17 12:57:49,"adecco maroc est actuellement à la recherche un infirmier de santé au travail h/f pour l’un de ses clients basé à el jadida.. . activités et responsabilités :. . assurer les missions de façon autonome, dans le cadre d’un protocole écrit avec le médecin du travail.. assurer le suivi des dossiers médicaux.. sensibiliser les salariés en matière de santé et de sécurité au travail.. participer avec le médecin du travail, à la surveillance médicale des salariés en préparant les consultations médicales (convocations administratives, réalisation des examens complémentaires, interrogatoire du salarié...). donner les premiers secours et orienter les salariés victimes d'accidents du travail vers les structures appropriées.. participer au comité d'hygiène, de sécurité et des conditions de travail.. établir des bilans de situation de santé au médecin du travail..",Intérim,el jadida,maroc,adecco,fr
technicien de bois / menuisier,2023-02-24 01:00:03,2023-04-17 10:34:01,"l’humain est au cœur de notre métier !. tectra est aujourd’hui leader du conseil en ressources humaines au maroc. avec plus de 1000 clients actifs multisectoriels et une force de réseaux de 27 agences partout dans le royaume, tectra vous accompagne dans votre recherche d’emploi. . pour l’un de ses clients, dans l’ameublement et décoration, tectra recherche un(e) technicien de bois / menuisier, à bouskoura.. missions principales :. . élaborer une fiche de débit. déterminer les opérations de fabrication et préparer les matériaux, la forme des éléments. du produit. maitriser les caractéristiques et propriétés des matériaux.. savoir lire et élaborer un plan de fabrication. tracer, reporter les repères de coupe et d’assemblage sur les pièces. débiter des pièces de bois (panneaux et massif…..). réaliser des gabarits de fabrication. poser des éléments de quincaillerie. assembler des sous-ensembles par procédé mécanique. réaliser les finitions d’un ouvrage. réaliser les opérations de décoration d’une pièce artisanale. savoir utiliser des machines à commandes numériques. ajuster des éléments façonnés. autocontrôle…. travaux d’installation et d’agencement sur les chantiers.. entretenir des équipements et assurer une maintenance de premier niveau..",Intérim,bouskoura,maroc,tectra berrechid,fr
ingénieur biomédical,2023-02-24 01:00:03,2023-03-13 10:10:45,"nous recrutons un ingénieur biomédical sur casablanca. principale mission : . . détecter et identifier les besoins des clients, proposer des solutions techniques en utilisant les produits de la gamme, . . les responsabilités de l’ingénieur biomédical sont les suivantes :. . analyser techniquement les problèmes des clients. contribuer à l’élaboration de la proposition et l’étude de faisabilité technique d’un projet compte tenu des possibilités financières du client. installer, tester et mettre en service le matériel commercialisé par la société. former le client sur l’utilisation du matériel installé.",CDI,casablanca,maroc,professional labo,fr
ingénieur de production,2023-02-24 01:00:03,2023-04-17 09:44:11,"le groupe objectware fondé en 1999 est une esn (entreprise de services du numérique) spécialisée dans le conseil et l'ingénierie en systèmes d'informations.. le groupe représentant plus de 900 collaborateurs en france (idf, strasbourg, nancy, lille, bordeaux, nantes) et à l'international (luxembourg, belgique) pour environ 90 m€ de ca.. objectware est un acteur historique du conseil it en finance, banque et assurance. depuis 2012, nous nous développons sur d'autres secteurs d'activités tels que les utilities, les télécoms, l'industrie et les services publics.. notre activité couvre la totalité des cycles de vie d’un système d’information (pilotage et gestion de projet, conseil en moa, conception réalisation, maintenance, production exploitation).. merci de visiter notre site. descriptif du poste. le système d’information de notre client est composé de 50 applications hébergées sur 550 machines. l'exploitation applicative assure le bon fonctionnement de cet ensemble 24/24, 7/7.. nous recherchons donc plusieurs ingénieurs de production (h/f) pour notre client.. vos principales missions seront les suivantes :. . gestion des incidents et des changements. installation de progiciels et de code maison. montée de version des plates-formes. optimisation de requêtes sql. copies de bases de données. mise en œuvre d'architecture applicative. support aux développeurs. relations avec les éditeurs de solutions. supervision et automatisation du plan batch (sous autosys)..",CDI,paris,maroc,objectware ne,fr
analyste / développeur cobol,2023-02-24 01:00:03,2023-04-17 09:44:19,"le groupe objectware fondé en 1999 est une esn (entreprise de services du numérique) spécialisée dans le conseil et l'ingénierie en systèmes d'informations.. le groupe représentant plus de 900 collaborateurs en france (idf, strasbourg, nancy, lille, bordeaux, nantes) et à l'international (luxembourg, belgique) pour environ 90 m€ de ca.. objectware est un acteur historique du conseil it en finance, banque et assurance. depuis 2012, nous nous développons sur d'autres secteurs d'activités tels que les utilities, les télécoms, l'industrie et les services publics.. notre activité couvre la totalité des cycles de vie d’un système d’information (pilotage et gestion de projet, conseil en moa, conception réalisation, maintenance, production exploitation).. poste :. nous recherchons actuellement plusieurs ingénieurs d’études et de développement cobol (h/f).. les postes à pourvoir sont basés à paris, strasbourg et nancy.. intégré(e) à une équipe objectware, vous interviendrez chez nos clients.. vos missions principales seront les suivantes :. . rédaction des spécifications techniques.. réalisation de développements axés sur cobol.. suivi des maintenances évolutives et correctives.. réaliser et réaliser les protocoles de test et de validation. réaliser la mise en production avec les équipes de l'exploitation informatique et les partenaires externes.",CDI,france,maroc,objectware ne,fr
gestionnaire logistique parc auto,2023-02-24 01:00:03,2023-04-17 09:44:37,"nous recherchons un gestionnaire logistique parc automobile pour le compte de notre client, multinationale opérant dans le secteur de la location longue durée (lld) à casablanca.. 1. fonction . gérer le processus d’achat et de livraison des véhicules neufs et mtr destinés aux clients.. . 2. activités et tâches du poste :. . gestion et suivi des commandes vn ;. saisi des nouvelles commandes sur le système ;. préparer les fiches de validation des commandes vn ;. préparer les dossiers de livraison pour la mise en service auprès de la comptabilité ;. négociation quotidienne pour l’achat des vn ;. planifier les livraisons dans les délais souhaités par les clients de l’entreprise ;. préparer les fiches de validation de livraison avant chaque livraison de véhicule neuf.. préparer et s’assurer de la conformité des kits de livraison ;. contrôler la réception des pv de livraison signés et cachetés par le client ;. pré valider les factures vn ;. gestion des mises à jour des réajustements de contrat sur le système ;. gestion des mises à jour des transferts de contrat sur le système ;. préparer les dossiers de livraison pour la mise en service auprès de la comptabilité ;. renseigner les nouveaux véhicules sur les applications de suivi ;. gérer les commandes des accessoires pour les véhicules neufs ;. pré-valider les factures d’accessoires ;. assurer le suivi des échéances des papiers de bord des véhicules (ww et récépissé) ;. répondre aux besoins des clients et les suivre en cas de perte ou d’envoi de documents ;. gestion de la mise à disposition des documents de bord aux clients ;. préparation des procurations pour nos clients ;. assurer le back up des membres de l’équipe logistique dans leurs absences ;. gestion des mises en service des livraisons vn (es) ;.",CDI,casablanca,maroc,atires partners,fr
assistante de direction,2023-02-24 01:00:03,2023-04-17 11:08:19,"rattachée au directeur général, vous assurez l’assistance et la bonne marche de la direction et l’interface entre celle-ci et les différents interlocuteurs en contribuant à la bonne circulation de l’information.a ce titre, vous avez pour principales missions. missions :. . réceptionner le courrier et les appels téléphoniques .. assurer l’accueil physique et téléphonique des visiteurs, clients et partenaires. gérer les agendas électroniques et contrôler les échéances. assurer l’interface entre le dg et les différents services. classer et archiver tous les documents de la direction. rédiger des notes ou des correspondances à partir des consignes orales ou manuscrites. assurer la réalisation des différents projets demandés par son supérieur hiérarchique. rédiger des supports de communication interne (rapport, compte rendu, note...). organiser les voyages de formation et les voyages de mission du personnel. assurer l’organisation d’évènements internes et externes (formations, réunions, cérémonies, fêtes du personnel…). participer à la gestion administrative..",CDI,casablanca,maroc,agentis,fr
agent bac+2 en commerce avec permis b en intérim,2023-02-24 01:00:03,2023-04-17 11:09:28,nous recrutons pour le compte de notre client spécialisé dans la grande distribution agroalimentaire des agents bac+2 en commerce avec permis b en intérim,Intérim,casablanca,maroc,tectra casa bourgogne ,fr
multicolor engineer,2023-02-24 01:00:03,2023-04-17 11:35:25,"summary of the role. . install and maintain multicolour equipment within an assigned geographical area or to assigned customers by performing periodical visits and solving all technical problems related to multicolour equipment to ensure that products are accurately tinted through the retail network and jotun factories.. . responsibilities:. . set regular maintenance schedules for existing machines in the assigned area by conducting maintenance in accordance with the plan, solve technical issues related to mc equipment to ensure that all machines are running properly to minimize colour complains. support the expansion of the retail network in assigned area in coordination with multicolor manager by providing installation, training and troubleshooting to ensure growth of the retail network. support marketing activities related to multicolor by updating databases and prices in assigned area/for assigned customers. advise customers by providing the necessary technical assistance related to multicolor machines to support the sales team and exceed customer expectations.. commit to maintenance plan, data base and prices distribution and assist in revamping current dealers to concept shops.. follow up on customer complaints regarding tinted colors accuracy and investigates to identify the root cause.. perform product, colours and colorant analysis for mc jotun customers.. perform training to operators and sales counters on multicolour equipment through jotun academies.. provide technical support to internal colleagues and external customers related to software, hardware, and assist in the implementation of formulation changes and upgrades and training to ensure products are tinted correctly and delivered on time to the customer. .",CDD,casablanca,maroc,jotun,en
comptable,2023-02-24 01:00:03,2023-04-17 12:57:40,"une grande structure qui opère dans le secteur industriel, recherche un comptable h/f, doté d’une première expérience de 2 ans dans un poste similaire. le poste est basé casablanca.. missions :. . assurer la comptabilisation des factures d’achats et l’établissement des comptes d’analyse. contrôler la conformité des pièces justificatives (bon de commande, bon de livraison, facture, fiche de commande, contrats fournisseurs…). produire des états mensuels de provisions et en assurer l’enregistrement comptable. assurer le classement et la conservation de l’ensemble des pièces justificatives. veiller au respect des procédures comptables..",Intérim,casablanca,maroc,artus,fr
credit control executive,2023-02-24 01:00:03,2023-04-17 12:58:18,"summary of the role. . support the credit control function by monitoring collection process with customers and sales force, reviewing debtors in order to minimise financial risk and secure the financial position of jotun in accordance with jotun’s business strategy.. . responsibilities: - monitor collection, customers and sales force activities to minimise overdues and stolen days. - provide documentation for legal recovery processes and assist in organising monthly credit meetings with sales force to minimise the company’s credit risk - analyse financial information and setting credit risk categories, credit limits, and authorising the release of orders on hold to ensure bad debts are kept to a minimum and cash is collected in accordance with the jotun credit policy. - organise and monitor monthly credit meetings including follow up from customers and sales force on their payment/settlement commitments. - monitor and control debts within the agreed credit term to customers to reduce the company risk exposure. - monitor the credit limits and payment trends of various customers by reviewing periodic reports to mitigate exposure to potential bad debts. - make sure the security of account receivables by reviewing the ar confirmation with each customer. - provide the credit analysis report and credit information correctly and timely for the management team to make right decision.",CDI,casablanca,maroc,jotun,en
juriste d'entreprise junior,2023-02-24 01:00:03,2023-04-17 16:09:19,"tectra maroc recrute pour son client basé à casablanca, un/e juriste d'entreprise junior. les missions principales sont:. - la rédaction des contrats. - le conseil. - le suivi des dossiers du contentieux. - l'application des lois et des réglements",CDI,casablanca,maroc,groupe tectra,fr
chargé de paie et administration rh,2023-02-24 01:00:03,2023-04-17 16:10:14,"nous recrutons pour le compte d’un de nos clients, un(e) chargé de paie et administration rh sur la ville de casablanca.. missions :. . gestion de la présence : suivi du pointage, absences, retards…. recueil, préparation et traitement des éléments variables de la paie.. contrôle de la fiabilité des éléments communiqués et traitement des anomalies avant paiement des salaires.. déclarations et paiement des cotisations mensuelles, trimestrielles, et annuelles.. gestion des contrats et des dossiers administratifs des collaborateurs (recrutement, départs, licenciement, démissions, dossiers de prévoyance, attestations diverses, affiliations, déclaration d’at etc.). rédaction de tous les écrits relatifs à l’administration du personnel..",CDI,casablanca,maroc,dama,fr
assistante de direction,2023-02-24 01:00:03,2023-04-17 17:01:57,"nous recrutons pour le compte d’un de nos clients, une assistante de direction sur dar bouazza.. missions :. . organiser l’agenda de la direction générale.. assurer l'accueil physique et téléphonique des interlocuteurs internes et externes.. assurer les prises de rendez-vous.. traiter le courrier postal et électronique.. suivre la circulation des parapheurs.. répondre aux demandes d'informations des autres services et de l'extérieur.. organiser les réunions et leurs logistiques.. prendre en charge des aspects logistiques de la direction générale (gestion du stock, des fournitures bureautiques, photocopieur …).. classer, pré-archiver les documents..",CDI,dar bouazza,maroc,dama,fr
guest service agent,2023-02-24 01:00:03,2023-04-17 17:02:52,"pour le compte d'un hôtel de luxe basé au qatar, nous sommes à la recherche des guest service agents - qatar",CDD,qatar,maroc,maroc force emploi,fr
waiters / waitresses,2023-02-24 01:00:03,2023-04-17 17:04:44,"nous recrutons pour le compte de notre client, un hôtel de luxe basé au qatar des waiters / waitresses..",CDD,qatar,maroc,maroc force emploi,fr
room attendant,2023-02-24 01:00:03,2023-04-17 17:05:27,"pour le compte d'un hôtel de luxe basé au qatar, nous sommes à la recherche des room attendants.",CDD,qatar,maroc,maroc force emploi,fr
driver hôtel,2023-02-24 01:00:03,2023-04-17 17:06:48,"pour le compte d'un hôtel de luxe basé au qatar, nous recherchons un chauffeur ( driver ).. .",CDD,qatar,maroc,maroc force emploi,fr
guest relations supervisor,2023-02-24 01:00:03,2023-04-17 17:07:38,"nous recrutons pour le compte de notre client, un hôtel de luxe basé au qatar des guest relations supervisors.",CDD,qatar,maroc,maroc force emploi,fr
chef de projet moa/moe trade & finance,2023-02-24 01:00:03,2023-04-17 18:15:53,"missions :. . gestion et suivi du projet,. gestion de la relation projet avec les différents acteurs projet internes et externes. cadrage fonctionnel et technique. conception générale, conception détaillée . paramétrage. suivi du développement. qualification. suivi du delivery et de mise en production . conduite des tests fonctionnels . documentation détaillée de tout le travail produit . transfert des compétences techniques et fonctionnelles. conduite de changement et rédaction des procédures. formation des utilisateurs..",Freelance,casablanca,maroc,red tic,fr
directeur de projets,2023-02-24 01:00:03,2023-04-17 18:17:16,"le directeur de projet affirme la réalisation des projets en terme de ressources, budgets et planning.. il a comme missions :. . le management d'équipe . assurer le pilotage d'un ou plusieurs projets (coût, délai, qualité et risques). comprendre, recueillir et analyser les besoins des clients. superviser la conception et la réalisation de projets. négocier et rédiger les documents contractuels. assurer la faisabilité des opérations demandées ( analyses des risques et des contraintes ). conseiller et assister les chefs de projets. participer aux recrutements de l'équipe. évaluer et faire progresser les collaborateurs travaillant sur les projets. arbitrer les affectations entre les différents projets. déployer la stratégie industrielle de l'entreprise sur les projets. organiser le reporting et veiller à la communication auprès des parties prenantes..",CDI,casablanca,maroc,armonia facilities,fr
chargé de recouvrement terrain,2023-02-23 19:29:53,2023-04-24 19:29:53,"g4s recrute pour son propre compte un chargé de recouvrement terrain expérimentés sur casa . principales missions :. . contrôle, la supervision et le suivi des règlements des clients,. procède à l’élaboration des situations mensuelles de solde clients,. procède à une relance systématique des clients dont les règlements ne sont pas parvenus à temps,. assure le suivi du recouvrement et assure l’exécution du processus de recouvrement en termes de relance verbale, écrite et passage en contentieux..",CDI,casablanca,maroc,g4s,fr
ingénieur d'etude et de développement c#/.net,2023-02-23 19:29:53,2023-04-24 19:29:53,"le groupe objectware fondé en 1999 est une esn (entreprise de services du numérique) spécialisée dans le conseil et l'ingénierie en systèmes d'informations.. le groupe représentant plus de 900 collaborateurs en france (idf, strasbourg, nancy, lille, bordeaux, nantes) et à l'international (luxembourg, belgique) pour environ 90 m€ de ca.. objectware est un acteur historique du conseil it en finance, banque et assurance. depuis 2012, nous nous développons sur d'autres secteurs d'activités tels que les utilities, les télécoms, l'industrie et les services publics.. notre activité couvre la totalité des cycles de vie d’un système d’information (pilotage et gestion de projet, conseil en moa, conception réalisation, maintenance, production exploitation). . poste :. nous recherchons actuellement plusieurs ingénieurs d’études et de développement .net (h/f).. les postes à pourvoir sont basés à paris, strasbourg et bordeaux.. intégré(e) à une équipe objectware, vous interviendrez chez nos clients.. vos missions principales seront les suivantes :. . analyse des besoins.. la rédaction des spécifications détaillées.. tests unitaires et d'intégration.. le suivi des recettes utilisateurs.. le suivi des mises en production et le support utilisateurs..",CDI,"paris, strasbourg et bordeaux",maroc,objectware ne,fr
ingénieur d'etude et de développement cobol,2023-02-23 19:29:53,2023-04-24 19:29:53,"le groupe objectware fondé en 1999 est une esn (entreprise de services du numérique) spécialisée dans le conseil et l'ingénierie en systèmes d'informations.. le groupe représentant plus de 900 collaborateurs en france (idf, strasbourg, nancy, lille, bordeaux, nantes) et à l'international (luxembourg, belgique) pour environ 90 m€ de ca.. objectware est un acteur historique du conseil it en finance, banque et assurance. depuis 2012, nous nous développons sur d'autres secteurs d'activités tels que les utilities, les télécoms, l'industrie et les services publics.. notre activité couvre la totalité des cycles de vie d’un système d’information (pilotage et gestion de projet, conseil en moa, conception réalisation, maintenance, production exploitation).. poste :. nous recherchons actuellement plusieurs ingénieurs d’études et de développement cobol (h/f).. les postes à pourvoir sont basés à paris, strasbourg et nancy.. intégré(e) à une équipe objectware, vous interviendrez chez nos clients.. vos missions principales seront les suivantes :. . rédaction des spécifications techniques.. réalisation de développements axés sur cobol.. suivi des maintenances évolutives et correctives.. réaliser et réaliser les protocoles de test et de validation. réaliser la mise en production avec les équipes de l'exploitation informatique et les partenaires externes.",CDI,"paris, strasbourg et nancy",maroc,objectware ne,fr
ingénieur pré-production / intégrateur technique,2023-02-23 19:29:19,2023-04-24 19:29:19,"le groupe objectware fondé en 1999 est une esn (entreprise de services du numérique) spécialisée dans le conseil et l'ingénierie en systèmes d'informations.. le groupe représentant plus de 900 collaborateurs en france (idf, strasbourg, nancy, lille, bordeaux, nantes) et à l'international (luxembourg, belgique) pour environ 90 m€ de ca.. objectware est un acteur historique du conseil it en finance, banque et assurance. depuis 2012, nous nous développons sur d'autres secteurs d'activités tels que les utilities, les télécoms, l'industrie et les services publics.. notre activité couvre la totalité des cycles de vie d’un système d’information (pilotage et gestion de projet, conseil en moa, conception réalisation, maintenance, production exploitation).. poste :. nous recherchons actuellement plusieurs ingénieurs pré-production / intégrateurs techniques (h/f).. les postes à pourvoir sont basés à paris.. intégré(e) à une équipe objectware, vous interviendrez chez nos clients.. vos missions principales seront les suivantes :. . assurer la continuité de service sur les applications du périmètre ;. gérer les demandes d’évolutions ou catalogue (maintenance évolutive et corrective) des chaînes existantes, dans le respect des normes de qualité ;. réaliser les travaux sur des évolutions fonctionnelles en sachant adapter le niveau de réactivité à l'urgence du besoin en fonction de la demande du responsable ;. améliorer et faire évoluer le système d'information, principalement sur le plan technique (performance, risque d'obsolescence) ;. assurer le plus en amont possible du processus, la cohérence d’ensemble des évolutions demandées et des évolutions d’architecture ;. effectuer la conception applicative, conformément aux besoins exprimés, prenant en compte les contraintes progiciels existantes ;. respecter les demandes, prévoir la planification des versions et leur contenu pour répondre aux attentes métier, tenir compte des contraintes de tous les acteurs (mof, me, métiers) en lien avec le responsable de pôle ;. etre en relation avec l’éditeur du progiciel pour toutes les tâches fonctionnelles et techniques relatives aux différents modules et packages progiciel..",CDI,paris,maroc,objectware ne,fr
gestionnaire en immobilier,2023-02-23 16:28:19,2023-04-24 16:28:19,"nous recrutons pour l'un de nos clients opérant dans le secteur immobilier, un(e) gestionnaire expérimenté(e) en immobilier sur la ville de casablanca.. les responsabilités incluent la gestion de projets immobiliers, la communication avec les clients et les partenaires, la gestion de l'équipe et la prise de décisions stratégiques pour assurer la réussite des projets.. missions :. gestion de loyers &amp; des investissements immobiliers :. . recouvrement et suivi des paiements (établissement des factures, relances, augmentations des loyers selon les contrats, …).. . étude en investissement immobilier :. . établissement des études de marché et des études de faisabilité, …. . gestion générale du bureau &amp; des ressources humaines :. . établissement et mise à jour de la liste des tâches hebdomadaires de toute l’équipe y compris les prestataires externes.. réception des appels téléphonique sur le fixe.. accueil physique des visiteurs (clients, bet, entreprises, fournisseurs, …).. élaboration des différents contrats (clients, prestataires externes, bet, …). recrutement selon besoin.. formation des nouveaux recrus.. élaboration des contrats.. . gestion juridique :. . suivi juridique des dossiers déposés chez les avocats concernant les différentes entités.. . gestion comptabilité :. . contrôle de toutes les missions comptables selon les contrats signés par les différents prestataires.. . gestion architecture :. . dépose et suivi des demandes de permis sur la plateforme rokhas..",CDI,casablanca,maroc,dama,fr
barman hôtel,2023-02-23 16:27:24,2023-04-24 16:27:24,nous recrutons pour l'un de nos clients opérant dans le secteur hôtelier des barmen sur la ville de tanger,Intérim,tanger,maroc,maroc force emploi,fr
hostess f&b,2023-02-23 16:26:18,2023-04-24 16:26:18,"nous recrutons pour le compte de notre client, un hôtel de luxe basé à tanger, des hostesses f&amp;b",Intérim,tanger,maroc,maroc force emploi,fr
chargé de portefeuille,2023-02-23 15:04:00,2023-04-24 15:04:00,"fondation arrawaj, est un acteur économique et social majeur dans le secteur de la micro-finance, elle s’appuie sur un capital humain fort de plus de 2000 collaborateurs, réparti sur un réseau de plus de 208 agences.dans le cadre de son développement, la fondation arrawaj recrute des chargés de portefeuille h/f au niveau de notre agence à marrakech.. missions :. en tant que « chargé de portefeuille », vous aurez pour principales missions : . . gérer et développer le portefeuille client. faire des prospections de nouveaux clients. mettre en avant nos produits et nos services auprès des clients potentiels. accompagner et conseiller les clients. fidéliser les clients. veiller à garder un contact régulier avec les clients. gérer et suivre les dossiers en cours. faire du recouvrement terrain..",CDI,marrakech,maroc,fondation arrawaj,fr
chargé de portefeuille,2023-02-23 15:03:48,2023-04-24 15:03:48,"fondation arrawaj, est un acteur économique et social majeur dans le secteur de la micro-finance, elle s’appuie sur un capital humain fort de plus de 2000 collaborateurs, réparti sur un réseau de plus de 208 agences.dans le cadre de son développement, la fondation arrawaj recrute des chargés de portefeuille h/f au niveau de notre agence de ben guerir. missions :. . . gérer et développer le portefeuille client. faire des prospections de nouveaux clients. mettre en avant nos produits et nos services auprès des clients potentiels. accompagner et conseiller les clients. fidéliser les clients. veiller à garder un contact régulier avec les clients. gérer et suivre les dossiers en cours. faire du recouvrement terrain..",CDI,benguerir,maroc,fondation arrawaj,fr
chargé de portefeuille,2023-02-23 15:03:39,2023-04-24 15:03:39,"fondation arrawaj, est un acteur économique et social majeur dans le secteur de la micro-finance, elle s’appuie sur un capital humain fort de plus de 2000 collaborateurs, réparti sur un réseau de plus de 208 agences.dans le cadre de son développement, la fondation arrawaj recrute des chargés de portefeuille h/f au niveau de notre agence de essaouira. missions :. . . gérer et développer le portefeuille client. faire des prospections de nouveaux clients. mettre en avant nos produits et nos services auprès des clients potentiels. accompagner et conseiller les clients. fidéliser les clients. veiller à garder un contact régulier avec les clients. gérer et suivre les dossiers en cours. faire du recouvrement terrain..",CDI,essaouira,maroc,fondation arrawaj,fr
